runnum,totcharge_bob(C),totcharge_pd(C),daqlvtm_bbhi,daqlvtm_ts1
13390,0.00931625,0.00775722,0.964628,0.964632
13391,0.0480656,0.0431108,0.964546,0.96455
13392,0.0118849,0.00995498,0.96506,0.965065
13393,0.0393522,0.0352998,0.964115,0.964118
13394,0.0181529,0.0163465,0.963623,0.963628
13395,0.010422,0.00932977,0.966932,0.966938
13398,0.0415851,0.0372927,0.964005,0.964009
13399,0.00785638,0.00663063,0.964116,0.96412
13400,0.0410924,0.0368513,0.964543,0.964546
13402,0.0406989,0.0365041,0.965053,0.965058
13403,0.0328686,0.0294742,0.964559,0.964562
13406,0.0448195,0.0401949,0.964942,0.964946
13407,0.0565388,0.0507153,0.965218,0.965222
13453,0.0143873,0.0129936,0.921915,0.921921
13454,0.00796434,0.00720362,0.919553,0.919558
13455,0.00668803,0.00604277,0.966737,0.96674
13468,0.0208221,0.0187287,0.966445,0.966449
13470,0.0197032,0.0177337,0.966535,0.966539
13472,0.0200205,0.0180134,0.965533,0.965537
13473,0.0170315,0.0153094,0.966824,0.966828
13474,0.0192062,0.0172702,0.966168,0.966172
13475,0.0145135,0.0130611,0.96547,0.965473
13476,0.0160094,0.0144111,0.964406,0.96441
13477,0.0155674,0.01402,0.965604,0.965608
13478,0.0188348,0.016932,0.964984,0.964989
13479,0.026277,0.023661,0.963464,0.963468
13491,0.0161297,0.0145637,0.97469,0.974694
13492,0.0249158,0.0224178,0.975818,0.975821
13493,0.025522,0.0229619,0.975597,0.9756
13494,0.0240365,0.0216163,0.97594,0.975944
13495,0.0239032,0.0215007,0.976201,0.976204
13496,0.0247259,0.0222477,0.976219,0.976222
13497,0.00971564,0.00874004,0.974868,0.974872
13502,0.0217893,0.0196067,0.96853,0.968533
13503,0.0217149,0.019539,0.966727,0.96673
13504,0.0222154,0.0198476,0.966602,0.966605
13505,0.0225967,0.0203213,0.965836,0.96584
13544,0.0209885,0.0188718,0.963766,0.963768
13545,0.0209421,0.0188299,0.966407,0.96641
13546,0.0211953,0.0190564,0.966407,0.96641
13547,0.0213906,0.0192339,0.966828,0.96683
13548,0.022576,0.0203038,0.966826,0.966829
13549,0.0286832,0.0258088,0.96694,0.966944
13550,0.0163153,0.0147212,0.966368,0.966371
13551,0.00149524,0.00135941,0.966788,0.966789
13552,0.00996595,0.00895693,0.968317,0.968321
13554,0.00496857,0.00450273,0.969932,0.969933
13556,0.0172191,0.015489,0.971119,0.971121
13557,0.010543,0.00949024,0.97013,0.970133
13558,0.0174645,0.0157081,0.967909,0.967912
13559,0.0165955,0.0149266,0.968081,0.968084
13560,0.0167492,0.0150673,0.967753,0.967758
13561,0.0174426,0.0156886,0.967585,0.967589
13562,0.0163872,0.0147391,0.968379,0.968383
13563,0.0168024,0.0151036,0.968732,0.968735
13564,0.0176515,0.0158743,0.96972,0.969723
13565,0.0161046,0.0144923,0.970899,0.970903
13566,0.0215231,0.0193801,0.968832,0.968836
13567,0.0182692,0.0164282,0.968762,0.968764
13568,0.0178798,0.016087,0.968529,0.968531
13569,0.0178639,0.0160593,0.9692,0.969204
13570,0.0174241,0.01567,0.969667,0.969671
13571,0.0178153,0.0160157,0.969287,0.969291
13581,0.0116711,0.0105143,0.968314,0.968317
13582,0.0202999,0.0182867,0.968887,0.968891
13583,0.0205165,0.0184525,0.967723,0.967726
13584,0.0206213,0.018542,0.967954,0.967956
13585,0.0218082,0.0196272,0.969349,0.969353
13586,0.0081993,0.00736861,0.971655,0.971659
13587,0.0213441,0.0191965,0.966906,0.966909
13588,0.0210317,0.0189745,0.972573,0.972576
13589,0.0208464,0.0187461,0.970591,0.970594
13590,0.00248338,0.00224019,0.969575,0.969578
13591,0.0233731,0.0210237,0.976917,0.97692
13592,0.000847439,0.00101527,0.987305,0.987308
13593,0.00815863,0.00736507,0.976387,0.97639
13596,0.017631,0.0158561,0.977505,0.977508
13597,-99.0,0.012419,0.976852,0.976856
13608,0.0170994,0.0153782,0.967897,0.967901
13609,0.0167605,0.0150801,0.967055,0.967059
13610,0.0170128,0.0153057,0.967766,0.967769
